dataset,model,trial,reference_group,target_group,target_split,alignment,clean_accuracy,drift_accuracy,accuracy_drop,probe_layer,ks_threshold,mmd_threshold,group_size,layer1_ks_mean,layer1_ks_max,layer1_mmd,layer2_ks_mean,layer2_ks_max,layer2_mmd,layer3_ks_mean,layer3_ks_max,layer3_mmd,layer4_ks_mean,layer4_ks_max,layer4_mmd,ks_mean,ks_max,pvalue_mean,mmd,ks_alert,mmd_alert,features.3_ks_mean,features.3_ks_max,features.3_mmd,features.4_ks_mean,features.4_ks_max,features.4_mmd,features.6_ks_mean,features.6_ks_max,features.6_mmd,features.8_ks_mean,features.8_ks_max,features.8_mmd
waterbirds,ResNet-50,0,val_matched,val_matched,val,matched,0.9466666666666667,0.9933333333333333,-0.046666666666666634,layer4,0.18712158203125,0.15786441043019295,150,0.08588541666666666,0.16,0.0696481466293335,0.08625,0.14666666666666667,0.06132645159959793,0.08234375,0.17333333333333334,0.05947117134928703,0.08364583333333334,0.19333333333333333,0.0653485581278801,0.08364583333333334,0.19333333333333333,0.675831054976439,0.0653485581278801,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,val_mismatched,val,mismatched,0.9466666666666667,0.4066666666666667,0.54,layer4,0.18712158203125,0.15786441043019295,150,0.23000000000000004,0.48,0.29132431745529175,0.20401041666666667,0.43333333333333335,0.24824120104312897,0.17338541666666668,0.43333333333333335,0.2022191882133484,0.13067708333333333,0.4533333333333333,0.15696893632411957,0.13067708333333333,0.4533333333333333,0.35392048950717236,0.15696893632411957,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,test_matched,test,matched,0.9466666666666667,0.9666666666666667,-0.020000000000000018,layer4,0.18712158203125,0.15786441043019295,150,0.10098958333333334,0.18,0.07720713317394257,0.09213541666666666,0.17333333333333334,0.06880608946084976,0.1015625,0.20666666666666667,0.07447289675474167,0.09286458333333333,0.18,0.06866473704576492,0.09286458333333333,0.18,0.5664238628864185,0.06866473704576492,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,test_mismatched,test,mismatched,0.9466666666666667,0.3933333333333333,0.5533333333333333,layer4,0.18712158203125,0.15786441043019295,150,0.2632291666666666,0.5133333333333333,0.3074534237384796,0.22635416666666663,0.4533333333333333,0.26780077815055847,0.18046875,0.46,0.2210649847984314,0.12958333333333336,0.4266666666666667,0.14171306788921356,0.12958333333333336,0.4266666666666667,0.33100527364562365,0.14171306788921356,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,val_landbird_land,val,matched,0.9466666666666667,0.9866666666666667,-0.040000000000000036,layer4,0.18712158203125,0.15786441043019295,150,0.10395833333333332,0.19333333333333333,0.10053318738937378,0.11,0.22,0.09333327412605286,0.10182291666666668,0.20666666666666667,0.10077952593564987,0.08802083333333333,0.18666666666666668,0.0844063013792038,0.08802083333333333,0.18666666666666668,0.6368086650192142,0.0844063013792038,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,val_landbird_water,val,mismatched,0.9466666666666667,0.43333333333333335,0.5133333333333333,layer4,0.18712158203125,0.15786441043019295,150,0.28427083333333336,0.62,0.3622298240661621,0.24651041666666668,0.5666666666666667,0.311165452003479,0.20432291666666666,0.5466666666666666,0.26612067222595215,0.14416666666666667,0.49333333333333335,0.18244117498397827,0.14416666666666667,0.49333333333333335,0.3136489227544993,0.18244117498397827,False,True,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,val_waterbird_land,val,mismatched,0.9466666666666667,0.45112781954887216,0.4955388471177945,layer4,0.18712158203125,0.15786441043019295,133,0.12083020050125312,0.26731829573934834,0.11509152501821518,0.1175814536340852,0.19979949874686717,0.10895129293203354,0.12008889411027568,0.26862155388471176,0.11573398858308792,0.1547861842105263,0.39303258145363407,0.1888638734817505,0.1547861842105263,0.39303258145363407,0.2607993249342273,0.1888638734817505,False,True,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,val_waterbird_water,val,matched,0.9466666666666667,0.9548872180451128,-0.008220551378446128,layer4,0.18712158203125,0.15786441043019295,133,0.29948778195488723,0.6439598997493734,0.3804434835910797,0.2603700657894737,0.5789974937343358,0.3352256119251251,0.21779096177944862,0.5764411027568922,0.2901947796344757,0.19184797932330827,0.5496240601503759,0.27420634031295776,0.19184797932330827,0.5496240601503759,0.22049003606622647,0.27420634031295776,True,True,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,test_landbird_land,test,matched,0.9466666666666667,1.0,-0.053333333333333344,layer4,0.18712158203125,0.15786441043019295,150,0.10854166666666666,0.2,0.10501112043857574,0.103125,0.2,0.08565683662891388,0.10703125,0.25333333333333335,0.0825592502951622,0.10703125000000001,0.21333333333333335,0.09656618535518646,0.10703125000000001,0.21333333333333335,0.4451802376600934,0.09656618535518646,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,test_landbird_water,test,mismatched,0.9466666666666667,0.32666666666666666,0.62,layer4,0.18712158203125,0.15786441043019295,150,0.31447916666666664,0.6666666666666666,0.38315892219543457,0.26265625000000004,0.6133333333333333,0.33563679456710815,0.21067708333333335,0.5933333333333334,0.2847391366958618,0.15286458333333336,0.5666666666666667,0.19659097492694855,0.15286458333333336,0.5666666666666667,0.270860653585069,0.19659097492694855,False,True,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,test_waterbird_land,test,mismatched,0.9466666666666667,0.42,0.5266666666666666,layer4,0.18712158203125,0.15786441043019295,150,0.1225,0.20666666666666667,0.12333717942237854,0.1209375,0.2733333333333333,0.11326546221971512,0.1184375,0.2733333333333333,0.1052146926522255,0.15234375,0.4066666666666667,0.19053639471530914,0.15234375,0.4066666666666667,0.26892303685739044,0.19053639471530914,False,True,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,test_waterbird_water,test,matched,0.9466666666666667,0.9533333333333334,-0.00666666666666671,layer4,0.18712158203125,0.15786441043019295,150,0.3123958333333333,0.6466666666666666,0.3919498026371002,0.2644270833333333,0.5933333333333334,0.33552029728889465,0.21614583333333334,0.62,0.2876046895980835,0.19130208333333332,0.5333333333333333,0.2619643807411194,0.19130208333333332,0.5333333333333333,0.21673356620908918,0.2619643807411194,True,True,,,,,,,,,,,,
waterbirds,EfficientNet-B0,0,val_matched,val_matched,val,matched,0.96,0.98,-0.020000000000000018,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.08260416666666667,0.16,0.6808765510232893,0.058952756226062775,False,False,0.08733333333333335,0.14,0.06477690488100052,0.09091666666666667,0.15333333333333332,0.06866126507520676,0.08708333333333333,0.16,0.0658356323838234,0.08260416666666667,0.16,0.058952756226062775
waterbirds,EfficientNet-B0,0,val_matched,val_mismatched,val,mismatched,0.96,0.43333333333333335,0.5266666666666666,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.13265624999999998,0.35333333333333333,0.33430693353810015,0.1230425164103508,False,False,0.21233333333333335,0.47333333333333333,0.3034166097640991,0.1973333333333333,0.4266666666666667,0.2685910761356354,0.16442708333333333,0.3466666666666667,0.1981937736272812,0.13265624999999998,0.35333333333333333,0.1230425164103508
waterbirds,EfficientNet-B0,0,val_matched,test_matched,test,matched,0.96,0.9466666666666667,0.013333333333333308,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.09739583333333333,0.18,0.5319416231448644,0.0735037624835968,False,False,0.09333333333333334,0.14,0.06914741545915604,0.09783333333333334,0.17333333333333334,0.07310615479946136,0.09880208333333335,0.16666666666666666,0.07327473163604736,0.09739583333333333,0.18,0.0735037624835968
waterbirds,EfficientNet-B0,0,val_matched,test_mismatched,test,mismatched,0.96,0.5066666666666667,0.45333333333333325,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.1328125,0.36,0.3305104531654085,0.13159474730491638,False,False,0.23000000000000004,0.52,0.3361739218235016,0.1958333333333333,0.46,0.2879427373409271,0.17010416666666667,0.3933333333333333,0.20690396428108215,0.1328125,0.36,0.13159474730491638
waterbirds,EfficientNet-B0,0,val_matched,val_landbird_land,val,matched,0.96,0.9866666666666667,-0.026666666666666727,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.08604166666666666,0.2,0.6540793675136958,0.07470623403787613,False,False,0.09933333333333334,0.20666666666666667,0.1144011840224266,0.10350000000000001,0.22,0.10195787250995636,0.09697916666666667,0.2,0.08869867771863937,0.08604166666666666,0.2,0.07470623403787613
waterbirds,EfficientNet-B0,0,val_matched,val_landbird_water,val,mismatched,0.96,0.5733333333333334,0.3866666666666666,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.14885416666666668,0.4266666666666667,0.2475871130575353,0.15306507050991058,False,False,0.24783333333333335,0.6333333333333333,0.3907400369644165,0.2288333333333333,0.5333333333333333,0.33945801854133606,0.1944270833333333,0.44666666666666666,0.24878540635108948,0.14885416666666668,0.4266666666666667,0.15306507050991058
waterbirds,EfficientNet-B0,0,val_matched,val_waterbird_land,val,mismatched,0.96,0.2631578947368421,0.6968421052631579,features.8,0.196435546875,0.1561116822063923,133,,,,,,,,,,,,,0.14337249373433586,0.3425062656641604,0.2953708701514105,0.14941047132015228,False,False,0.11402380952380953,0.1948370927318296,0.12499713897705078,0.10630012531328321,0.19513784461152883,0.10442885011434555,0.12901315789473683,0.3432080200501253,0.1221318170428276,0.14337249373433586,0.3425062656641604,0.14941047132015228
waterbirds,EfficientNet-B0,0,val_matched,val_waterbird_water,val,matched,0.96,0.8872180451127819,0.07278195488721806,features.8,0.196435546875,0.1561116822063923,133,,,,,,,,,,,,,0.18524044486215538,0.5021052631578947,0.15533501565824032,0.2185717225074768,False,True,0.2595751879699248,0.651328320802005,0.41447484493255615,0.24156077694235586,0.5446616541353383,0.3681948184967041,0.20130208333333333,0.47543859649122805,0.2798047661781311,0.18524044486215538,0.5021052631578947,0.2185717225074768
waterbirds,EfficientNet-B0,0,val_matched,test_landbird_land,test,matched,0.96,0.9933333333333333,-0.033333333333333326,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.10630208333333334,0.30666666666666664,0.46384258697797065,0.08855946362018585,False,False,0.1125,0.18666666666666668,0.11239487677812576,0.1065,0.18666666666666668,0.0979810282588005,0.10947916666666667,0.22,0.09043754637241364,0.10630208333333334,0.30666666666666664,0.08855946362018585
waterbirds,EfficientNet-B0,0,val_matched,test_landbird_water,test,mismatched,0.96,0.49333333333333335,0.4666666666666666,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.15729166666666666,0.43333333333333335,0.246939146316568,0.1631447672843933,False,True,0.2763333333333333,0.66,0.4266816973686218,0.2475,0.6133333333333333,0.3736964464187622,0.20385416666666667,0.46,0.2706007957458496,0.15729166666666666,0.43333333333333335,0.1631447672843933
waterbirds,EfficientNet-B0,0,val_matched,test_waterbird_land,test,mismatched,0.96,0.20666666666666667,0.7533333333333333,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.13765625,0.32,0.3315266551559692,0.15102066099643707,False,False,0.11816666666666668,0.22,0.12705965340137482,0.11000000000000001,0.2,0.11182280629873276,0.12885416666666666,0.3,0.12642760574817657,0.13765625,0.32,0.15102066099643707
waterbirds,EfficientNet-B0,0,val_matched,test_waterbird_water,test,matched,0.96,0.9,0.05999999999999994,features.8,0.196435546875,0.1561116822063923,150,,,,,,,,,,,,,0.18833333333333332,0.48,0.1703965965073224,0.21777808666229248,False,True,0.2748333333333334,0.6333333333333333,0.41894176602363586,0.24158333333333334,0.5533333333333333,0.36478906869888306,0.20140624999999998,0.5,0.2719976305961609,0.18833333333333332,0.48,0.21777808666229248
waterbirds,ResNet-50,1,val_matched,val_matched,val,matched,0.9733333333333334,0.9666666666666667,0.00666666666666671,layer4,0.19517822265624998,0.1612823225557804,150,0.07411458333333333,0.14,0.052293986082077026,0.08,0.17333333333333334,0.058246858417987823,0.083125,0.16666666666666666,0.06020331755280495,0.08239583333333333,0.15333333333333332,0.05881914496421814,0.08239583333333333,0.15333333333333332,0.6786039939266827,0.05881914496421814,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,1,val_matched,val_mismatched,val,mismatched,0.9733333333333334,0.68,0.29333333333333333,layer4,0.19517822265624998,0.1612823225557804,150,0.2691145833333333,0.5733333333333334,0.34320127964019775,0.24005208333333333,0.5,0.2946905791759491,0.18833333333333335,0.5066666666666667,0.24874275922775269,0.13895833333333332,0.44,0.17872793972492218,0.13895833333333332,0.44,0.3164751259850858,0.17872793972492218,False,True,,,,,,,,,,,,
waterbirds,ResNet-50,1,val_matched,test_matched,test,matched,0.9733333333333334,0.96,0.01333333333333342,layer4,0.19517822265624998,0.1612823225557804,150,0.10208333333333333,0.20666666666666667,0.08546805381774902,0.11020833333333332,0.22,0.08643750101327896,0.09760416666666667,0.21333333333333335,0.06472259759902954,0.09588541666666667,0.19333333333333333,0.07037350535392761,0.09588541666666667,0.19333333333333333,0.5458763287239732,0.07037350535392761,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,1,val_matched,test_mismatched,test,mismatched,0.9733333333333334,0.6933333333333334,0.28,layer4,0.19517822265624998,0.1612823225557804,150,0.23536458333333335,0.5,0.284209668636322,0.2108854166666667,0.44666666666666666,0.25134819746017456,0.16682291666666668,0.4266666666666667,0.2062024474143982,0.13078125,0.44,0.1568276286125183,0.13078125,0.44,0.3510168131388701,0.1568276286125183,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,1,val_matched,val_landbird_land,val,matched,0.9733333333333334,0.9933333333333333,-0.019999999999999907,layer4,0.19517822265624998,0.1612823225557804,150,0.10604166666666667,0.22,0.09816517680883408,0.09968750000000001,0.19333333333333333,0.08931610733270645,0.09765625,0.20666666666666667,0.08165764808654785,0.09270833333333334,0.21333333333333335,0.08404609560966492,0.09270833333333334,0.21333333333333335,0.5802423888043813,0.08404609560966492,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,1,val_matched,val_landbird_water,val,mismatched,0.9733333333333334,0.76,0.21333333333333337,layer4,0.19517822265624998,0.1612823225557804,150,0.30562500000000004,0.64,0.37979650497436523,0.26859374999999996,0.5933333333333334,0.33845657110214233,0.21385416666666668,0.58,0.2980414032936096,0.15453125,0.47333333333333333,0.19659733772277832,0.15453125,0.47333333333333333,0.27773761705607114,0.19659733772277832,False,True,,,,,,,,,,,,
waterbirds,ResNet-50,1,val_matched,val_waterbird_land,val,mismatched,0.9733333333333334,0.3609022556390977,0.6124310776942357,layer4,0.19517822265624998,0.1612823225557804,133,0.11929589598997492,0.27398496240601505,0.10103116184473038,0.11112233709273181,0.20776942355889724,0.10599809139966965,0.11665609335839598,0.23769423558897243,0.11312539875507355,0.15316141917293233,0.3663157894736842,0.185346320271492,0.15316141917293233,0.3663157894736842,0.2567921634293689,0.185346320271492,False,True,,,,,,,,,,,,
waterbirds,ResNet-50,1,val_matched,val_waterbird_water,val,matched,0.9733333333333334,0.8721804511278195,0.10115288220551388,layer4,0.19517822265624998,0.1612823225557804,133,0.2998065476190476,0.6504761904761904,0.39120790362358093,0.2667516447368421,0.5880701754385965,0.34382838010787964,0.21609022556390978,0.5764411027568922,0.2921397387981415,0.19614152568922305,0.5429573934837093,0.2767200171947479,0.19614152568922305,0.5429573934837093,0.1978022094299995,0.2767200171947479,True,True,,,,,,,,,,,,
waterbirds,ResNet-50,1,val_matched,test_landbird_land,test,matched,0.9733333333333334,0.98,-0.006666666666666599,layer4,0.19517822265624998,0.1612823225557804,150,0.12229166666666669,0.21333333333333335,0.10666906088590622,0.11828125,0.23333333333333334,0.10336696356534958,0.11374999999999999,0.20666666666666667,0.09000415354967117,0.10609374999999999,0.23333333333333334,0.09193248301744461,0.10609374999999999,0.23333333333333334,0.45526244258483894,0.09193248301744461,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,1,val_matched,test_landbird_water,test,mismatched,0.9733333333333334,0.7933333333333333,0.18000000000000005,layer4,0.19517822265624998,0.1612823225557804,150,0.30463541666666666,0.64,0.3825925886631012,0.26098958333333333,0.6333333333333333,0.32904940843582153,0.2103125,0.56,0.30079689621925354,0.14953125,0.56,0.211321160197258,0.14953125,0.56,0.2789944013671616,0.211321160197258,False,True,,,,,,,,,,,,
waterbirds,ResNet-50,1,val_matched,test_waterbird_land,test,mismatched,0.9733333333333334,0.42,0.5533333333333335,layer4,0.19517822265624998,0.1612823225557804,150,0.12036458333333333,0.23333333333333334,0.10645147413015366,0.109375,0.23333333333333334,0.10814519971609116,0.11369791666666666,0.22,0.09901279211044312,0.16098958333333335,0.4,0.20354096591472626,0.16098958333333335,0.4,0.242472184124245,0.20354096591472626,False,True,,,,,,,,,,,,
waterbirds,ResNet-50,1,val_matched,test_waterbird_water,test,matched,0.9733333333333334,0.86,0.1133333333333334,layer4,0.19517822265624998,0.1612823225557804,150,0.30026041666666664,0.64,0.3861224353313446,0.26645833333333335,0.5733333333333334,0.3381693959236145,0.21223958333333334,0.5533333333333333,0.2702847421169281,0.19765624999999998,0.5133333333333333,0.2682720124721527,0.19765624999999998,0.5133333333333333,0.16837389482330312,0.2682720124721527,True,True,,,,,,,,,,,,
waterbirds,EfficientNet-B0,1,val_matched,val_matched,val,matched,0.9733333333333334,0.9866666666666667,-0.013333333333333308,features.8,0.19053955078125,0.15324617996811865,150,,,,,,,,,,,,,0.08036458333333334,0.20666666666666667,0.7085046150594052,0.05848684161901474,False,False,0.08216666666666668,0.13333333333333333,0.05392579361796379,0.08025,0.17333333333333334,0.05220729112625122,0.08145833333333333,0.15333333333333332,0.05641920119524002,0.08036458333333334,0.20666666666666667,0.05848684161901474
waterbirds,EfficientNet-B0,1,val_matched,val_mismatched,val,mismatched,0.9733333333333334,0.5333333333333333,0.44000000000000006,features.8,0.19053955078125,0.15324617996811865,150,,,,,,,,,,,,,0.14,0.44,0.2965981851555547,0.1402132511138916,False,False,0.242,0.5466666666666666,0.36789390444755554,0.2145,0.5066666666666667,0.31487345695495605,0.18151041666666667,0.43333333333333335,0.2267560511827469,0.14,0.44,0.1402132511138916
waterbirds,EfficientNet-B0,1,val_matched,test_matched,test,matched,0.9733333333333334,0.9533333333333334,0.020000000000000018,features.8,0.19053955078125,0.15324617996811865,150,,,,,,,,,,,,,0.09619791666666667,0.17333333333333334,0.5355643146438275,0.07635319977998734,False,False,0.0955,0.16,0.07437919825315475,0.09541666666666666,0.18,0.07284887880086899,0.0925,0.15333333333333332,0.0677357167005539,0.09619791666666667,0.17333333333333334,0.07635319977998734
waterbirds,EfficientNet-B0,1,val_matched,test_mismatched,test,mismatched,0.9733333333333334,0.5933333333333334,0.38,features.8,0.19053955078125,0.15324617996811865,150,,,,,,,,,,,,,0.12890625,0.38,0.35840239796708084,0.13159383833408356,False,False,0.21383333333333338,0.5,0.3122372329235077,0.19866666666666666,0.47333333333333333,0.2713176906108856,0.164375,0.44666666666666666,0.19392143189907074,0.12890625,0.38,0.13159383833408356
waterbirds,EfficientNet-B0,1,val_matched,val_landbird_land,val,matched,0.9733333333333334,0.98,-0.006666666666666599,features.8,0.19053955078125,0.15324617996811865,150,,,,,,,,,,,,,0.09572916666666667,0.23333333333333334,0.5677663264883314,0.08288205415010452,False,False,0.101,0.16666666666666666,0.10805422812700272,0.09775,0.2,0.0980381965637207,0.094375,0.2,0.08965779840946198,0.09572916666666667,0.23333333333333334,0.08288205415010452
waterbirds,EfficientNet-B0,1,val_matched,val_landbird_water,val,mismatched,0.9733333333333334,0.58,0.3933333333333334,features.8,0.19053955078125,0.15324617996811865,150,,,,,,,,,,,,,0.15015625,0.46,0.25402195034192876,0.17115773260593414,False,True,0.26316666666666666,0.6466666666666666,0.43008697032928467,0.24008333333333334,0.5933333333333334,0.37048596143722534,0.20088541666666665,0.52,0.25933918356895447,0.15015625,0.46,0.17115773260593414
waterbirds,EfficientNet-B0,1,val_matched,val_waterbird_land,val,mismatched,0.9733333333333334,0.48872180451127817,0.4846115288220552,features.8,0.19053955078125,0.15324617996811865,133,,,,,,,,,,,,,0.14135651629072682,0.35343358395989977,0.30666330155783184,0.1500704437494278,False,False,0.10772055137844612,0.19147869674185464,0.11254008859395981,0.10716478696741856,0.20716791979949875,0.10069550573825836,0.1253371710526316,0.3649122807017544,0.12029272317886353,0.14135651629072682,0.35343358395989977,0.1500704437494278
waterbirds,EfficientNet-B0,1,val_matched,val_waterbird_water,val,matched,0.9733333333333334,0.9398496240601504,0.033483709273183004,features.8,0.19053955078125,0.15324617996811865,133,,,,,,,,,,,,,0.17967536027568923,0.49543859649122807,0.1829369499699654,0.2176893949508667,False,True,0.2549611528822055,0.6562907268170426,0.42381012439727783,0.24344298245614038,0.5555889724310777,0.37266305088996887,0.20344611528822057,0.465062656641604,0.28038740158081055,0.17967536027568923,0.49543859649122807,0.2176893949508667
waterbirds,EfficientNet-B0,1,val_matched,test_landbird_land,test,matched,0.9733333333333334,0.9666666666666667,0.00666666666666671,features.8,0.19053955078125,0.15324617996811865,150,,,,,,,,,,,,,0.11276041666666667,0.26,0.4062037488726096,0.09502121061086655,False,False,0.11366666666666667,0.21333333333333335,0.11302576959133148,0.10825,0.21333333333333335,0.10243670642375946,0.10416666666666666,0.23333333333333334,0.08674176037311554,0.11276041666666667,0.26,0.09502121061086655
waterbirds,EfficientNet-B0,1,val_matched,test_landbird_water,test,mismatched,0.9733333333333334,0.6133333333333333,0.3600000000000001,features.8,0.19053955078125,0.15324617996811865,150,,,,,,,,,,,,,0.14875,0.44,0.2576018543630892,0.16007360816001892,False,True,0.2705,0.62,0.4235239624977112,0.2401666666666667,0.5933333333333334,0.3684382140636444,0.20375000000000001,0.5,0.26251351833343506,0.14875,0.44,0.16007360816001892
waterbirds,EfficientNet-B0,1,val_matched,test_waterbird_land,test,mismatched,0.9733333333333334,0.47333333333333333,0.5,features.8,0.19053955078125,0.15324617996811865,150,,,,,,,,,,,,,0.1421875,0.36,0.30569948028566374,0.15692678093910217,False,True,0.10900000000000001,0.21333333333333335,0.11297566443681717,0.10491666666666669,0.2,0.10331620275974274,0.12140625,0.30666666666666664,0.11979122459888458,0.1421875,0.36,0.15692678093910217
waterbirds,EfficientNet-B0,1,val_matched,test_waterbird_water,test,matched,0.9733333333333334,0.88,0.09333333333333338,features.8,0.19053955078125,0.15324617996811865,150,,,,,,,,,,,,,0.17692708333333335,0.47333333333333333,0.1902477178358078,0.2073899507522583,False,True,0.2703333333333333,0.58,0.41511473059654236,0.24441666666666667,0.5733333333333334,0.36369383335113525,0.19927083333333334,0.49333333333333335,0.2648220360279083,0.17692708333333335,0.47333333333333333,0.2073899507522583
